Positive,Negative,Neutral
upper-case letter,,
hooligan,,
all,,
preternatural,,
authorize,,
shattering,,
life-giving,,
know apart,,
audacious,,
bounteous,,
floodlit,,
close up,,
right field,,
wrawl,,
beatified,,
braggart,,
fall in,,
parsimonious,,
properly,,
watery,,
all-out,,
transport,,
winy,,
come,,
rare,,
disgrace,,
all-or-none,,
refresh,,
activating,,
soundproof,,
sure-handed,,
gratifying,,
state,,
plain,,
piquant,,
dearly,,
unventilated,,
hand-to-hand,,
frisk,,
make out,,
edward d. white,,
energize,,
gaga,,
sozzled,,
fire up,,
soda pop,,
rise up,,
discase,,
silver,,
fold,,
nickel-and-dime,,
unreal,,
perpendicular,,
exalt,,
counselor-at-law,,
take in,,
charming,,
glassy,,
proficient,,
crazy,,
tested,,
bettor,,
fruity,,
spic,,
puke,,
touchwood,,
fresh,,
piercing,,
readable,,
evidential,,
tight-laced,,
esteemed,,
modest,,
grievous,,
peel,,
vehement,,
agile,,
lounge around,,
honourable,,
homey,,
make,,
flannel,,
bust,,
crease,,
impeccable,,
rag,,
devolve,,
disarm,,
strip,,
scarcely,,
vitiate,,
demoralize,,
spry,,
plummet,,
perfect,,
suffer,,
rear,,
father,,
stinkpot,,
fill up,,
hygienic,,
luxuriant,,
counselor,,
brighten,,
aseptic,,
accommodative,,
three-year-old,,
instant,,
bilk,,
punter,,
dayspring,,
romp,,
sea captain,,
branching,,
affectionately,,
uncorrupted,,
aged,,
plenteous,,
very,,
nonmoving,,
openhanded,,
rile,,
untested,,
sort,,
in-chief,,
refreshing,,
short,,
earthshaking,,
celebrated,,
contrasting,,
coarsened,,
cutting,,
leaded,,
furbish up,,
terrifying,,
cadence,,
sulfurous,,
barrack,,
degraded,,
foil,,
frizzy,,
twee,,
clown,,
unsoured,,
semi-wild,,
clearheaded,,
perfect tense,,
impelling,,
beauteous,,
full-grown,,
passionate,,
valid,,
goody-goody,,
sound,,
vestal,,
hurried,,
ersatz,,
red-hot,,
lancinating,,
exhaust,,
rest,,
groundless,,
unfounded,,
laputan,,
sluttish,,
complaisant,,
invigorate,,
subscript,,
show off,,
telephoner,,
satisfactory,,
project,,
virtuoso,,
limit,,
dangerous,,
moralistic,,
demoralise,,
albescent,,
rested,,
conservative,,
earlier,,
break of serve,,
stun,,
wear,,
native,,
unfinished,,
extravagant,,
powdered,,
marvelous,,
scrubbed,,
deluxe,,
bloodless,,
burnished,,
frightfully,,
equitable,,
better off,,
steady-going,,
plectron,,
another,,
eerie,,
impressionable,,
acceptable,,
sinful,,
high-grade,,
moderne,,
consecrate,,
variant,,
vex,,
lifeless,,
arriviste,,
overladen,,
pep up,,
dignified,,
breezy,,
daze,,
corroborant,,
fanny,,
advance,,
washington,,
conk out,,
washed,,
tardy,,
dire,,
glad,,
streaming,,
antithetical,,
spunk,,
seamless,,
becalm,,
pin-up,,
beloved,,
opponent,,
flight strip,,
superbly,,
cursed,,
aglitter,,
amaze,,
lighter,,
compact,,
hazardous,,
cracking,,
humongous,,
bond,,
swift,,
flawlessly,,
fail,,
arrant,,
crush,,
bring,,
tired,,
rock-steady,,
adult,,
split second,,
cheapen,,
ticktock,,
riant,,
invigorating,,
knifelike,,
mooch,,
sixpenny,,
celluloid,,
wakeless,,
chapiter,,
nail,,
geological fault,,
white river,,
speedy,,
loudly,,
squeamish,,
shine,,
whitney young,,
perfumed,,
sharp,,
wail,,
awesome,,
get out,,
lodge,,
healed,,
verbose,,
specious,,
cleave,,
keynote,,
bargain-priced,,
stand by,,
practice,,
shed light on,,
rattle,,
worthy,,
reasoned,,
arranged,,
square,,
opposition,,
limpid,,
consummate,,
speedily,,
hopeful,,
burning,,
frustrate,,
smooth out,,
trusty,,
the right way,,
find fault,,
segregated,,
hindquarters,,
remedy,,
fledgling,,
right-hand,,
contrary,,
face-to-face,,
ardent,,
genius,,
uninfected,,
stanford white,,
hottish,,
bump,,
declamatory,,
propitious,,
thankful,,
parvenu,,
flying,,
holocene,,
start out,,
fanciful,,
ironlike,,
instantaneous,,
crowing,,
sloshed,,
threepenny,,
best,,
private investigator,,
good for you,,
well-preserved,,
marvellous,,
late,,
inviolable,,
beat up,,
delicate,,
fleshy,,
take down,,
acrid,,
functional,,
baroque,,
decent,,
stunning,,
caucasian,,
mavin,,
healthier,,
misdirect,,
fop,,
astute,,
unaccented,,
visualize,,
mannerism,,
snap off,,
tardily,,
grotesque,,
soda,,
last,,
low-priced,,
laborsaving,,
boastful,,
hector,,
well behaved,,
cloudless,,
flashy,,
lap,,
space,,
afters,,
subvert,,
situate,,
debauchee,,
concluded,,
important,,
ok,,
scrub up,,
epic,,
runproof,,
acquit,,
boyish,,
unchangeable,,
wondrously,,
worthless,,
angry,,
enthusiastic,,
automatic,,
alert,,
insubstantial,,
diver,,
penetrating,,
jailbreak,,
pulse,,
astronomic,,
princely,,
ostentate,,
fully,,
surgical,,
errorless,,
frivolous,,
make-believe,,
stand-alone,,
smashing,,
bang up,,
roar,,
sensational,,
alcoholic,,
ordinary,,
lay,,
consenting,,
freshen up,,
brush up,,
promptly,,
immaculate,,
beneficial,,
tinder,,
unanimous,,
sponge,,
cadge,,
tasty,,
trustworthy,,
of import,,
hurrying,,
mend,,
bush-league,,
unfamiliar,,
mystifier,,
find,,
calorific,,
pin,,
gilt,,
smoothen,,
horrendous,,
crinkle,,
evenhanded,,
scotch,,
